"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","SOURCE","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","MA1","TMP","WND"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-02T03:00:00","4","FM-12","99999","V020","99999,9,10101,1","+0282,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-03T03:00:00","4","FM-12","99999","V020","99999,9,10109,1","+0280,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-03T06:00:00","4","FM-12","99999","V020","99999,9,10115,1","+0324,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-03T09:00:00","4","FM-12","99999","V020","99999,9,10082,1","+0344,1","320,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-03T12:00:00","4","FM-12","99999","V020","99999,9,10077,1","+0338,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-04T03:00:00","4","FM-12","99999","V020","99999,9,10109,1","+0272,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-04T09:00:00","4","FM-12","99999","V020","99999,9,10083,1","+0350,1","290,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-04T12:00:00","4","FM-12","99999","V020","99999,9,10076,1","+0328,1","320,1,N,0015,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-05T03:00:00","4","FM-12","99999","V020","99999,9,10110,1","+0274,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-05T06:00:00","4","FM-12","99999","V020","99999,9,10104,1","+0340,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-05T09:00:00","4","FM-12","99999","V020","99999,9,10074,1","+0346,1","320,1,N,0015,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-05T12:00:00","4","FM-12","99999","V020","99999,9,10067,1","+0328,1","320,1,N,0015,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-06T03:00:00","4","FM-12","99999","V020","99999,9,10094,1","+0274,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-06T09:00:00","4","FM-12","99999","V020","99999,9,10058,1","+0346,1","320,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-06T12:00:00","4","FM-12","99999","V020","99999,9,10049,1","+0332,1","320,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-07T03:00:00","4","FM-12","99999","V020","99999,9,10098,1","+0296,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-07T06:00:00","4","FM-12","99999","V020","99999,9,10095,1","+0350,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-07T12:00:00","4","FM-12","99999","V020","99999,9,10065,1","+0336,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-08T03:00:00","4","FM-12","99999","V020","99999,9,10097,1","+0280,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-08T06:00:00","4","FM-12","99999","V020","99999,9,10098,1","+0340,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-08T09:00:00","4","FM-12","99999","V020","99999,9,10070,1","+0360,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-08T12:00:00","4","FM-12","99999","V020","99999,9,10066,1","+0334,1","320,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-09T03:00:00","4","FM-12","99999","V020","99999,9,10102,1","+0278,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-09T06:00:00","4","FM-12","99999","V020","99999,9,10103,1","+0338,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-09T09:00:00","4","FM-12","99999","V020","99999,9,10077,1","+0352,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-09T12:00:00","4","FM-12","99999","V020","99999,9,10069,1","+0334,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-10T03:00:00","4","FM-12","99999","V020","99999,9,10102,1","+0276,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-10T06:00:00","4","FM-12","99999","V020","99999,9,10100,1","+0334,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-10T09:00:00","4","FM-12","99999","V020","99999,9,10073,1","+0346,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-10T12:00:00","4","FM-12","99999","V020","99999,9,10066,1","+0328,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-11T03:00:00","4","FM-12","99999","V020","99999,9,10105,1","+0286,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-11T06:00:00","4","FM-12","99999","V020","99999,9,10107,1","+0338,1","999,9,C,0000,1"
